Espa�ol,N�huatl
"""rasca algo, labra la tierra""",tlatataka
acuesta algo,tlateka
vacia un líquido,tlatekilia
tira,tlatewia
sueña,tlatemiki
llena,tlatemilia
echa algo,tlatetema
se golpea,tlatetsona
esconde,tlatia
llama o nombra a alguien por su nombre,tlatoka
mide,tlatomachiwa
"""medidor, medida""",tlatomachiwal
trueno,tlatoponi
truena,tlatoponia
quema,tlatla
pregunta (verbo),tlatlajtia
está aconjogado,tlatlaokoya
parte en trozos,tlatlapatsa
arruga una tela,tlatlapachowa
"""orina, meados""",tlatlapiasos
"""abre, cuenta""",tlatlapowa
tose,tlatlasi
tos,tlatlasis
hace lumbre,tlatlatia
encendido,tlatlaujki
"""cerca hecha de cañas, madera o piedra""",tlatsakual
"""impide, estorba""",tlatsakuilia
pega,tlatsekolia
"""flojo, perezoso""",tlatsijk
"""repica una campana, suena un cascabel""",tlatsilini
"""cose, hace un traje para alguien""",tlatsoma
costurero,tlatsomal
rasga,tlatsotsomotsa
toca música,tlatsotsona
ruido de sonaja o maracas,tlatsotsonaka
músico,tlatsotsonke
se emborracha,tlawana
época de secas,tlawaki
borracho,tlawanke
alba,tlawaskalmanti
demasiado,tlawel miek
"""se enfurece, se amuina, hace berrinche""",tlawelmiki
berrinchudo,tlaweltike
"""malhumorado, de mal humor""",tlaweltopok
"""esposo, marido""",tlawikatl
alumbra,tlawilia
se raja o se agrieta,tlaxamani
tejamanil,tlaxamanil
"""reparte, separa""",tlaxexelo
aborta,tlaxilia
desyerba,tlaxiwana
"""ramea, hojea en un temazcal""",tlaxiwia
hojeada en un baño de temazcal,tlaxiwis
despelleja,tlaxipewa
se descompone,tlaxixini
"""aplaude, hace tortillas, bate las manos""",tlaxkaloa
"""persona que hace tortillas, quien aplude o bate las manos""",tlaxkalojke
tortilla gruesa,tlaxkaltilawak
"""prende fuego, enciende""",tlaxotlaltia
paga,tlaxtlawia
pago,tlaxtlawilis
"""ablanda, suaviza""",tlayamania
"""jefe, líder, guía, director, gobernador""",tlayekana
"""derecha, derecho""",tlayekantl
"""hijo primogénito, líder""",tlayekanyotl
terminar,tlayekos
"""objeto redondo, esfera, rueda, círculo""",tlayewalotl
considera,tlayolmelawa
"""oscurece, anochece""",tlayowa
"""oscurecer, anochecer""",tlayowak
"""oscuridad, tinieblas""",tlayowal
"""es de noche, está oscuro (modo reverencial)""",tlayowatika
"""ya es de noche, ya está oscuro """,tlayowatok
¿por qué?,tleika
sube,tlejko
"""escala, trepa""",tlejkotinemi
brasero,tlekaxitl
nono? saludo informal,tlen
ye? ¿qué hora es?,tlen iman
rojizo de lumbre,tletik
flama,tleton
fuego,tletsintli
"""asa, tuesta""",tlewatsa
"""se broncea, se requema""",tlilewa
moreno,tlilewayotl
color negro,tliltik
zapote negro,tliltsapotl
cierra,tsakua
"""ataja, defiende""",tsakuili
cascabel,tsatsanaka
grita,tsatsi
"""rompe, rasga""",tsayana
hila,tsawa
"""chicalote blanco,chicalote amarillo""",tsikalotl
"""detiene a alguien, arresta""",tsikoa
despega,tsikuewa
chilacayote,tsilakayotl
campana,tsilinil
"""urraca, zanate, chanate, tordo""",tsinakatl
picazón anal,tsinkualo
"""nalgas, trasero (modo reverencial)""",tsintli
vagina,tsinalatstik
cincuate,tsinkoatl
"""ano, orificio vaginal""",tsinpitskoyok
"""nalgas, culo, trasero de una persona""",tsinte
chintete,tsintetetl
lodo,tsokitl
lodoso,tsokiyotl
codorniz,tsolin
rezumba,tsoloni
cose,tsoma
"""se rompe, se desgarra un objeto""",tsomonia
canoso,tsonistak
se lava el cabello,tsonpaka
trenza,tsonpatlach
copula,tsonpiktilia
coito,tsonpiktilis
catarro,tsonpil
se corta el pelo,tsonteki
dolor de cabeza,tsontekonkokolis
peludo,tsonyo
"""cima, punto culminante""",tsonyotl
"""endulza, azucara""",tsopelia
se espina,tsoponia
espina,tsopotl
tacaño,tsotsokatl
"""vasija, cántaro pequeño""",tsotsokol
pequeño,tsotsokoto
llovizna,tsotsonkiawitl
dulcesillo,tsotsopelik
se picotean las aves,tsotsopitsa
ruido del aciete o manteca al freír,tsotsoyoka
"""contradice, discutir con alguien""",tsowilia
"""sucio, desaseado""",tsoyo
fríe,tsoyonia
se secaron,wajkej
seca (verbo),waki
seco,wakij
vino,wala
trae,walika
viene saliendo,walkisa
regresará,walmokuepas
se seca,watsa
y (conjunción),wan
dura (verbo),wejkani
profundo,wejkatlan
"""cuñada, cuñado""",wejpol
largo,wejweyak
saborea,welikayekowa
puede,weliti
rìe,wetska
cae,wetsi
viejo,wewe
"""dios antiguo del fuego, tambor vertical de uso ritual""",weweteotl
tambor vertical de uso ritual,wewetl
envejece,wewetia
se ríe mucho,wewetska
se carcajea,wewetstikak
guajolote,wexolotl
sauce,wexotl
está alto,weyak
"""gran, grande""",weyi
mar,weyiatl
universidad,weyi kaltlamachti
"""presumido, vanidoso""",weyimati
